收寄城市,寄达城市,集包件运量
大连,杭州,34.0
大连,湖州,0.0
大连,嘉兴,0.0
大连,宁波,0.0
大连,台州,0.0
大连,金华,0.0
大连,义乌,0.0
大连,温州,0.0
大连,合肥,0.0
大连,蚌埠,0.0
大连,芜湖,0.0
大连,安庆,0.0
大连,福州,0.0
大连,厦门,0.0
大连,泉州,0.0
大连,南昌,0.0
大连,鹰潭,0.0
大连,赣州,0.0
大连,济南,0.0
大连,潍坊,0.0
大连,烟台,16.0
大连,青岛,0.0
大连,济宁,0.0
大连,临沂,0.0
大连,郑州,0.0
大连,漯河,0.0
大连,信阳,0.0
大连,洛阳,0.0
大连,武汉,0.0
大连,荆州,0.0
大连,襄阳,0.0
大连,长沙,0.0
大连,常德,0.0
大连,衡阳,0.0
大连,广州,0.0
大连,汕头,0.0
大连,深圳,0.0
大连,东莞,0.0
大连,湛江,0.0
大连,中山,0.0
大连,南宁,0.0
大连,柳州,0.0
大连,海口,0.0
大连,重庆,0.0
大连,成都,0.0
大连,南充,0.0
大连,内江,0.0
大连,贵阳,0.0
大连,昆明,0.0
大连,大理州,0.0
大连,拉萨,0.0
大连,西安,0.0
大连,宝鸡,0.0
大连,兰州,0.0
大连,西宁,0.0
大连,银川,0.0
大连,乌鲁木齐,0.0
大连,阿克苏,0.0
大连,喀什,0.0
锦州,北京,151.0
锦州,天津,0.0
锦州,石家庄,0.0
锦州,唐山,0.0
锦州,廊坊,0.0
锦州,保定,0.0
锦州,太原,0.0
锦州,侯马,0.0
锦州,呼和浩特,0.0
锦州,包头,0.0
锦州,沈阳,470.0
锦州,大连,271.0
锦州,锦州,0.0
锦州,长春,0.0
锦州,哈尔滨,0.0
锦州,上海,0.0
锦州,南京,0.0
锦州,常州,0.0
锦州,无锡,0.0
锦州,苏州,0.0
锦州,徐州,0.0
锦州,连云港,0.0
锦州,淮安,0.0
锦州,盐城,0.0
锦州,扬州,0.0
锦州,南通,0.0
锦州,杭州,0.0
锦州,湖州,0.0
锦州,嘉兴,0.0
锦州,宁波,0.0
锦州,台州,0.0
锦州,金华,0.0
锦州,义乌,0.0
锦州,温州,0.0
锦州,合肥,0.0
锦州,蚌埠,0.0
锦州,芜湖,0.0
锦州,安庆,0.0
锦州,福州,0.0
锦州,厦门,0.0
锦州,泉州,0.0
锦州,南昌,0.0
锦州,鹰潭,0.0
锦州,赣州,0.0
锦州,济南,0.0
锦州,潍坊,0.0
锦州,烟台,0.0
锦州,青岛,0.0
锦州,济宁,0.0
锦州,临沂,0.0
锦州,郑州,0.0
锦州,漯河,0.0
锦州,信阳,0.0
锦州,洛阳,0.0
锦州,武汉,0.0
锦州,荆州,0.0
锦州,襄阳,0.0
锦州,长沙,0.0
锦州,常德,0.0
锦州,衡阳,0.0
锦州,广州,0.0
锦州,汕头,0.0
锦州,深圳,0.0
锦州,东莞,0.0
锦州,湛江,0.0
锦州,中山,0.0
锦州,南宁,0.0
锦州,柳州,0.0
锦州,海口,0.0
锦州,重庆,0.0
锦州,成都,0.0
锦州,南充,0.0
锦州,内江,0.0
锦州,贵阳,0.0
锦州,昆明,0.0
锦州,大理州,0.0
锦州,拉萨,0.0
锦州,西安,0.0
锦州,宝鸡,0.0
锦州,兰州,0.0
锦州,西宁,0.0
锦州,银川,0.0
锦州,乌鲁木齐,0.0
锦州,阿克苏,0.0
锦州,喀什,0.0
长春,北京,199.0
长春,天津,293.0
长春,石家庄,0.0
长春,唐山,0.0
长春,廊坊,0.0
长春,保定,0.0
长春,太原,0.0
长春,侯马,0.0
长春,呼和浩特,0.0
长春,包头,0.0
长春,沈阳,153.0
长春,大连,0.0
长春,锦州,0.0
长春,长春,0.0
长春,哈尔滨,153.0
长春,上海,0.0
长春,南京,139.0
长春,常州,0.0
长春,无锡,0.0
长春,苏州,0.0
长春,徐州,0.0
长春,连云港,0.0
长春,淮安,0.0
长春,盐城,0.0
长春,扬州,0.0
长春,南通,0.0
长春,杭州,0.0
长春,湖州,0.0
长春,嘉兴,0.0
长春,宁波,0.0
长春,台州,0.0
长春,金华,0.0
长春,义乌,0.0
长春,温州,0.0
长春,合肥,0.0
长春,蚌埠,0.0
长春,芜湖,0.0
长春,安庆,0.0
长春,福州,0.0
长春,厦门,0.0
长春,泉州,0.0
长春,南昌,0.0
长春,鹰潭,0.0
长春,赣州,0.0
长春,济南,134.0
长春,潍坊,0.0
长春,烟台,0.0
长春,青岛,0.0
长春,济宁,0.0
长春,临沂,0.0
长春,郑州,202.0
